cell,cell_id,cell_types
singles-BM0828-HSC-fresh-151027-1,cell_1,HSC
singles-BM0828-HSC-fresh-151027-2,cell_2,HSC
singles-BM0828-HSC-fresh-151027-3,cell_3,HSC
singles-BM0828-HSC-fresh-151027-4,cell_4,HSC
singles-BM0828-HSC-fresh-151027-5,cell_5,HSC
singles-BM0828-HSC-fresh-151027-6,cell_6,HSC
singles-BM0828-HSC-fresh-151027-7,cell_7,HSC
singles-BM0828-HSC-fresh-151027-8,cell_8,HSC
singles-BM0828-HSC-fresh-151027-9,cell_9,HSC
singles-BM0828-HSC-fresh-151027-10,cell_10,HSC
singles-BM0828-HSC-fresh-151027-11,cell_11,HSC
singles-BM0828-HSC-fresh-151027-12,cell_12,HSC
singles-BM0828-HSC-fresh-151027-13,cell_13,HSC
singles-BM0828-HSC-fresh-151027-14,cell_14,HSC
singles-BM0828-HSC-fresh-151027-15,cell_15,HSC
singles-BM0828-HSC-fresh-151027-16,cell_16,HSC
singles-BM0828-HSC-fresh-151027-17,cell_17,HSC
singles-BM0828-HSC-fresh-151027-18,cell_18,HSC
singles-BM0828-HSC-fresh-151027-19,cell_19,HSC
singles-BM0828-HSC-fresh-151027-20,cell_20,HSC
singles-BM0828-HSC-fresh-151027-21,cell_21,HSC
singles-BM0828-HSC-fresh-151027-22,cell_22,HSC
singles-BM0828-HSC-fresh-151027-23,cell_23,HSC
singles-BM0828-HSC-fresh-151027-24,cell_24,HSC
singles-BM0828-HSC-fresh-151027-25,cell_25,HSC
singles-BM0828-HSC-fresh-151027-26,cell_26,HSC
singles-BM0828-HSC-fresh-151027-27,cell_27,HSC
singles-BM0828-HSC-fresh-151027-28,cell_28,HSC
singles-BM0828-HSC-fresh-151027-29,cell_29,HSC
singles-BM0828-HSC-fresh-151027-30,cell_30,HSC
singles-BM0828-HSC-fresh-151027-31,cell_31,HSC
singles-BM0828-HSC-fresh-151027-32,cell_32,HSC
singles-BM0828-HSC-fresh-151027-33,cell_33,HSC
singles-BM0828-HSC-fresh-151027-34,cell_34,HSC
singles-BM0828-HSC-fresh-151027-35,cell_35,HSC
singles-BM0828-HSC-fresh-151027-36,cell_36,HSC
singles-BM0828-HSC-fresh-151027-37,cell_37,HSC
singles-BM0828-HSC-fresh-151027-38,cell_38,HSC
