ADNP	0.447272	1.524260	0.849998	-3.365481	-0.875093	-0.322505	-1.508485	-2.636959	-0.519948	2.072971	2.749468	-2.950873	1.261727	3.359211	-0.410104	-1.687939	-0.531595	3.551282	-1.040925	0.290291	0.600514	0.699601	1.301761	-0.390464	-1.184676	-0.548454	0.943786	1.033909	3.028084	2.388854	2.926967	-0.913115
ADNP2	0.540236	1.118507	0.423742	-2.837987	-0.876660	0.344276	-0.887316	-1.811620	-0.049366	1.796891	1.439996	-1.955119	0.588823	2.461565	-0.342511	-0.413715	-0.579458	2.281604	-1.293264	0.550107	0.451592	0.870361	1.538851	0.788942	-1.075288	-0.804320	1.623471	1.094815	2.536446	1.741683	1.970245	-0.748956
AEBP2	0.806925	1.432587	0.714017	-2.948125	-0.952185	-0.193829	-1.186892	-1.872548	-0.060315	1.840297	1.873103	-2.324964	0.788837	3.016908	-0.243761	-1.060959	-0.622599	2.927002	-1.069293	0.558785	0.077237	0.979346	1.086463	0.347210	-0.739826	-0.677023	0.833970	0.868556	2.678130	1.751650	2.343365	-0.478456
AFF1	1.433726	2.609615	1.124365	-6.183282	-1.522011	-0.856866	-1.375959	-3.725198	-1.411633	4.290049	4.556980	-4.785364	1.355605	6.753778	0.042861	-3.199835	-0.371849	6.335169	-1.673977	0.007446	0.383130	2.032730	2.020629	-0.081222	-1.429454	-0.041546	1.545161	1.053109	5.345906	3.653677	6.243763	-1.930173
AFF2	0.138702	0.334150	0.087573	-0.526075	-0.139496	-0.117412	-0.313747	-0.303427	-0.093653	0.504349	0.432993	-0.547422	0.216385	0.576697	-0.117862	-0.057341	-0.203357	0.489296	-0.098487	0.017234	0.030004	0.133410	0.179060	-0.030814	-0.288854	-0.214510	0.316446	0.407087	0.562914	0.386298	0.357906	-0.034217
AFF3	0.030463	0.143446	0.027446	-0.293098	-0.082230	0.001424	-0.139597	-0.183187	-0.051978	0.160470	0.207476	-0.238915	0.031419	0.242576	-0.048682	-0.119062	-0.138410	0.280073	-0.075297	0.027423	0.053671	0.068213	0.128495	-0.006651	-0.092569	-0.111275	0.033024	0.134910	0.217402	0.199359	0.157529	-0.103010
AFF4	1.487519	2.791466	1.873902	-3.940320	-0.823607	-0.914977	-1.694555	-1.879358	-0.353333	2.213501	2.306745	-2.127194	1.092203	4.748609	0.378146	-1.135184	-1.188887	3.872785	-0.803914	0.494341	0.165525	1.638848	0.307282	0.168449	-1.024439	-0.667090	1.415189	1.141971	3.112747	1.879628	2.179540	-0.922060
AHCTF1	0.717560	1.776770	0.989981	-2.425824	-0.768214	-0.630555	-0.538549	-0.875157	-0.088698	1.349596	1.204197	-1.139396	0.696632	2.522112	0.665551	-0.148592	-0.704104	2.260188	-0.578521	0.339617	0.035277	0.929479	0.330898	0.186675	-0.716600	-0.424239	1.164293	0.764061	1.715363	1.031156	1.114412	-0.521921
AHR	0.279319	0.892861	0.846740	-1.829781	-0.814807	-0.436921	-0.587503	-1.300710	-0.022274	0.849600	1.016287	-1.141195	0.592263	2.181099	-0.112210	-0.841406	-0.466902	2.386746	-0.612902	0.299314	0.017645	0.776052	0.031742	-0.084581	-0.245236	-0.462488	0.412240	0.312809	1.438927	1.056405	1.562762	-0.499561
AKNA	0.127311	1.813820	0.749246	-4.129252	-1.429257	-0.302533	-1.994271	-3.073092	-0.501258	3.183214	2.914451	-3.671111	1.212698	3.850741	-0.974024	-1.121278	-0.638169	4.014192	-1.715746	0.021281	0.289619	0.659942	1.920895	-0.358036	-1.654466	-0.754222	1.603419	2.164553	4.524767	3.949081	3.558510	-0.779351
ARID1A	1.087414	3.498744	2.060608	-5.660695	-2.106587	-0.265240	-3.524924	-4.954511	1.345410	3.296167	4.365296	-5.798082	3.257740	5.241381	-1.589349	-1.507251	-2.296293	6.796690	-2.594443	1.570426	1.188458	1.534409	2.098387	-0.463672	-2.952378	-2.708888	2.449585	4.045564	6.341114	4.229466	3.199226	-0.976159
ARID1B	0.680907	4.857113	3.679160	-7.135506	-2.935434	-1.303144	-3.656079	-5.577141	-0.871259	3.615467	4.507465	-4.528160	2.469515	8.671687	-0.962268	-2.886813	-2.688209	8.686049	-2.266290	1.405961	0.445554	3.012690	0.777070	-1.201994	-2.284501	-1.625798	2.073796	2.590525	6.095002	5.129485	5.076171	-2.047523
ARID2	0.474228	1.564872	0.571620	-1.950847	-0.544923	-0.687727	-0.567410	-1.052161	-0.472613	1.389171	1.558885	-1.480518	1.148252	2.864319	0.008312	-0.797882	-0.092832	2.087909	-0.641057	-0.158017	0.505407	0.671043	0.180414	-0.018008	-0.689468	-0.094286	1.013173	0.597750	1.742573	1.299317	1.547143	-0.710641
ARID3A	0.186683	0.626511	0.242587	-0.934468	-0.366220	-0.218014	-0.662737	-0.689793	0.035080	0.943788	0.871067	-1.128785	0.575907	1.152171	-0.396006	-0.131528	-0.332668	1.067624	-0.359362	0.021992	0.102457	0.267987	0.359544	-0.055166	-0.615206	-0.380249	0.456971	0.766045	1.257903	0.897371	0.695163	-0.031895
ARID3B	0.067432	0.481202	0.291811	-0.816685	-0.399274	-0.087495	-0.297988	-0.584863	-0.049966	0.521186	0.535656	-0.660084	0.372469	0.875922	-0.126906	-0.210078	-0.204573	0.981728	-0.347831	0.167722	0.060481	0.311738	0.335370	-0.081176	-0.375896	-0.184463	0.254893	0.375134	0.739553	0.595347	0.653487	-0.190860
ARID4A	0.323858	0.989552	0.673994	-2.613058	-0.904682	-0.338103	-0.832421	-1.651595	-0.199584	1.325125	1.378594	-1.733081	0.540761	2.566877	-0.357721	-0.896685	-0.491408	2.403237	-0.778608	0.525073	0.243440	0.850319	0.508872	0.404477	-0.546849	-0.592420	0.852220	0.667420	1.817702	1.570042	2.049734	-0.760678
ARID4B	0.273725	1.954985	1.213164	-4.051469	-1.665719	-0.152783	-1.009845	-2.909781	0.366983	2.306823	1.996338	-3.001461	0.520499	4.271504	-0.319771	-0.720627	-1.330616	4.943384	-2.018267	1.226775	-0.110822	2.556119	1.872455	0.190154	-1.598866	-0.986252	1.739450	2.543917	4.443344	2.636264	3.332971	-1.684455
ARID5A	0.295452	1.122078	0.678829	-1.767910	-0.727215	0.175280	-1.192044	-1.848273	0.240896	1.248993	1.367152	-1.871706	0.762245	2.036211	-0.951925	-0.609623	-0.665059	2.474939	-1.080593	0.638859	0.402685	0.768416	0.670579	-0.293947	-0.957522	-0.830119	0.658177	1.151380	2.305520	1.784449	1.545261	-0.415366
ARID5B	0.248772	0.978461	0.522072	-1.881588	-0.567621	-0.367517	-0.468098	-0.985110	-0.103160	0.987916	1.161881	-1.232217	0.509684	1.844380	0.302734	-0.618575	-0.424967	1.882037	-0.523151	0.272216	0.081649	0.552540	0.609045	-0.074292	-0.542098	-0.298338	0.504166	0.504460	1.386721	1.020872	1.216225	-0.481894
ARNT	-0.050329	0.824784	0.525512	-2.184727	-0.721933	-0.186813	-1.063829	-1.647125	-0.222733	1.427919	1.472400	-1.844397	0.834725	2.057435	-0.489954	-0.792750	-0.090847	2.172848	-0.963975	-0.149525	0.318565	0.237727	0.862853	0.003786	-0.593831	-0.354012	0.881030	0.733556	2.075096	1.928019	1.790742	-0.505435
ARNT2	0.075807	0.738673	0.425867	-1.010577	-0.427652	-0.157858	-0.545909	-0.841531	-0.067175	0.756736	0.760513	-0.856188	0.354872	1.183087	-0.276772	-0.235182	-0.450006	1.142299	-0.332512	0.190285	0.115255	0.452525	0.276688	-0.136625	-0.555279	-0.277775	0.497485	0.657239	1.063229	0.841675	0.710509	-0.233499
ARNTL	0.036926	0.180749	0.031992	-0.359434	-0.145954	-0.065190	-0.124828	-0.199287	-0.024454	0.190763	0.219695	-0.290472	0.055684	0.315170	-0.010205	-0.049690	-0.146217	0.346342	-0.112981	0.044948	0.034949	0.097962	0.122676	0.016382	-0.083996	-0.111510	0.092458	0.158190	0.259011	0.224087	0.189037	-0.059739
